year,abany
2021,no
2021,yes
2021,no
2021,no
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,no
2021,no
2021,no
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,no
2021,no
2021,no
2021,no
2021,no
2021,yes
2021,yes
2021,no
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,no
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,no
2021,yes
2021,no
2021,yes
2021,yes
2021,no
2021,yes
2021,no
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,yes
2021,no
2021,yes
2021,no
2021,yes
2021,yes
2021,no
2021,yes
2021,no
2021,no
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,no
2021,yes
2021,yes
2021,no
2021,no
2021,yes
2021,no
2021,no
2021,yes
2021,yes
2021,no
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,no
2021,no
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,no
2021,no
2021,yes
2021,no
2021,no
2021,yes
2021,no
2021,no
2021,no
2021,no
2021,yes
2021,no
2021,no
2021,yes
2021,no
2021,no
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,no
2021,no
2021,yes
2021,no
2021,no
2021,no
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,no
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,no
2021,no
2021,no
2021,yes
2021,no
2021,yes
2021,no
2021,yes
2021,no
2021,no
2021,no
2021,yes
2021,no
2021,yes
2021,no
2021,no
2021,no
2021,no
2021,no
2021,yes
2021,no
2021,no
2021,yes
2021,no
2021,no
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,no
2021,no
2021,no
2021,yes
2021,no
2021,no
2021,no
2021,no
2021,no
2021,no
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,no
2021,no
2021,no
2021,no
2021,no
2021,no
2021,no
2021,no
2021,yes
2021,no
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,yes
2021,no
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,yes
2021,yes
2021,yes
2021,no
2021,no
2021,no
2021,no
2021,no
2021,yes
2021,yes
2021,no
2021,yes
2021,no
2021,no
2021,no
2021,yes
2021,yes
2021,yes
2021,yes
